rank,title,year,country,genres,description
13,Бойцовский клуб,1999,United States,"криминал, драма, триллер","Офисный работник, страдающий бессонницей, и наплевательский мыловар создают подпольный бойцовский клуб, который перерастает в нечто большее."
14,Начало,2010,United Kingdom,"Боевики, Приключения, Научная фантастика","Вору, который крадет корпоративные секреты с помощью технологии обмена мечтами, предстоит обратная задача: внедрить идею в сознание генерального директора, но его трагическое прошлое может обречь проект на провал...Читать полностью"
15,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,United States,"Боевик, Приключения, Фэнтези","После того, как Империя побеждает Альянс повстанцев, Люк Скайуокер начинает обучение у мастера-джедая Йоды, а Дарт Вейдер и охотник за головами Боба Фетт преследуют его друзей по всей галактике."
16,Матрица,1999,United States,"Боевик, Научная фантастика","Когда красивая незнакомка ведет компьютерного хакера Нео в неприступный преступный мир, он открывает шокирующую правду: жизнь, которую он знает, является тщательно продуманным обманом злого киберразведчика."
17,Славные парни,1990,United States,"Биография, криминал, драма","История Генри Хилла и его жизни в мафии, освещающая его отношения с женой Карен и партнерами по мафии Джимми Конвеем и Томми ДеВито."
18,Интерстеллар,2014,United States,"приключения, драма, научная фантастика","Когда в будущем Земля станет непригодной для жизни, фермеру и бывшему пилоту НАСА Джозефу Куперу поручается пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей."
19,Пролетая над гнездом кукушки,1975,United States,Драма,"В 1963 году, штат Орегон, мятежного осужденного отправляют на обследование в психиатрическую больницу, и он призывает своих послушных товарищей лучше контролировать свою жизнь и бросить вызов тираническому начальнику...Читать полностью"
20,Семь,1995,United States,"криминал, драма, мистика","Два детектива пытаются выследить серийного убийцу, который выбирает жертв по мотивам «Семи смертных грехов»."
21,Эта замечательная жизнь,1946,United States,"Драма, Семейный, Фэнтези","Ангел послан с Небес, чтобы помочь отчаянно разочарованному бизнесмену осознать ценность своей жизни."
22,Молчание ягнят,1991,United States,"криминал, драма, ужасы","Молодой Ф.Б.И. Курсант должен получить помощь заключенного в тюрьму и манипулирующего убийцы-каннибала, чтобы помочь поймать другого серийного убийцу, сумасшедшего, который сдирает шкуру со своих жертв."
23,Семь самураев,1954,Japan,"Боевик, Драма","Фермеры из деревни, эксплуатируемой бандитами, нанимают для защиты опытного самурая, и он собирает к себе шесть других самураев."
24,Спасти рядового Райана,1998,United States,"Драма, Военный","После высадки в Нормандии группа американских солдат отправляется в тыл врага, чтобы забрать десантника, товарищи которого погибли в бою."
25,Зелёная миля,1999,United States,"криминал, драма, фэнтези","Охранник камеры смертников узнает, что находящийся под его опекой добрый великан обладает таинственным даром."
26,Город Бога,2002,Brazil,"криминал, драма","В трущобах Рио пути двух детей расходятся: один пытается стать фотографом, а другой — вором в законе."
27,Жизнь прекрасна,1997,Italy,"комедия, драма, романтика","Когда непредубежденный еврейский официант и его сын становятся жертвами Холокоста, он использует идеальное сочетание воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря."
28,Терминатор 2: Судный день,1991,United States,"Боевики, Приключения, Научная фантастика","Киборг из будущего, идентичный тому, которому не удалось убить Сару Коннор, теперь должен защитить ее десятилетнего сына Джона от еще более продвинутого и могущественного киборга."
29,Звёздные войны,1977,United States,"Боевик, Приключения, Фэнтези","Фермерский мальчик объединяет усилия с различными союзниками, чтобы спасти свою галактику от разрушающей планеты боевой станции злой Империи, а также спасти принцессу, возглавляющую восстание против них."
30,Назад в будущее,1985,United States,"приключения, комедия, научная фантастика","Марти МакФлай, 17-летний ученик средней школы, случайно отправляется на 30 лет в прошлое на путешествующем во времени ДеЛореане, изобретенном его близким другом, ученым-индивидуалистом Доком Брауном."
31,Унесённые призраками,2001,Japan,"Анимация, Приключения, Семейный","Во время переезда своей семьи в пригород угрюмая 10-летняя девочка попадает в мир, которым правят боги, ведьмы и духи, и где люди превращаются в зверей."
32,Пианист,2002,France,"Биография, Драма, Музыка","Во время Второй мировой войны известный польский музыкант Владислав сталкивается с различными трудностями, поскольку теряет связь со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить."
33,Гладиатор,2000,United States,"Боевик, Приключения, Драма","Бывший римский генерал намеревается отомстить коррумпированному императору, который убил его семью и отправил его в рабство."
34,Паразиты,2019,South Korea,"Драма, Триллер",Жадность и классовая дискриминация угрожают вновь сформировавшимся симбиотическим отношениям между богатой семьей Пак и обездоленным кланом Кимов.
35,Могила светлячков,1988,Japan,"Анимация, Драма, Военный",Маленький мальчик и его младшая сестра борются за выживание в Японии во время Второй мировой войны.
36,Психо,1960,United States,"Драма, Ужасы, Мистика","Секретарь, скрывающийся от растраты, укрывается в уединенном калифорнийском мотеле, принадлежащем репрессированному мужчине и его властной матери."
37,Король лев,1994,United States,"Анимация, Приключения, Драма","Принц-лев Симба и его отец стали целью его ожесточенного дяди, который хочет сам взойти на трон."
38,Харакири,1962,Japan,"Драма, Мистика","Когда ронину, запрашивающему сеппуку во дворце феодала, рассказывают о жестоком самоубийстве другого ронина, который ранее посещал его, он раскрывает, как переплетено их прошлое - и при этом...Читать полностью"
39,Отступники,2006,United States,"криминал, драма, триллер","Полицейский под прикрытием и крот в полиции пытаются опознать друг друга, проникая в ирландскую банду в Южном Бостоне."
40,Убить Билла: Кровавое дело целиком,2004,United States,"Боевик, Криминал, Триллер","Женщина-убийца жаждет отомстить своему бывшему возлюбленному и членам отряда, которые оставили ее умирать."
41,Одержимость,2014,United States,"Драма, Музыка","Многообещающий молодой барабанщик поступает в музыкальную консерваторию, где его мечты о величии сопровождаются преподавателем, который не остановится ни перед чем, чтобы реализовать потенциал ученика."
42,Престиж,2006,United Kingdom,"Драма, Мистика, Научная фантастика","Два друга и коллеги-волшебника становятся заклятыми врагами после внезапной трагедии. Посвятив себя этому соперничеству, они приносят жертвы, которые приносят им славу, но с ужасными последствиями...Читать полностью"
43,Американская история Икс,1998,United States,"криминал, драма",Американец европейского происхождения выходит из тюрьмы и теперь стал другим человеком и надеется помешать своему младшему брату пойти по его стопам.
44,Леон,1994,France,"Боевик, Криминал, Драма","Когда ее семью убивает группа коррумпированных офицеров во главе с тираном Норманом Стэнсфилдом, 12-летняя девочка прибегает к помощи итальянско-американского киллера, чтобы отомстить."
45,Человек-паук: Паутина вселенных,2023,United States,"Анимация, Боевик, Приключения","Путешествуя по мультивселенной, Майлз Моралес встречает новую команду Людей-Пауков, состоящую из героев из разных измерений. Но когда герои спорят о том, как справиться с новой угрозой, М...Читать полностью"
46,Новый кинотеатр «Парадизо»,1988,Italy,"Драма, Романтика","Сальваторе, известный кинорежиссер, возвращается в свой родной город на похороны киномеханика местного театра Альфредо. Он вспоминает свою жизнь, когда мальчиком влюбился в...Читать полностью"
47,Касабланка,1942,United States,"Драма, Романтика, Военный","Циничный американский владелец кафе-эмигрант из Америки пытается решить, стоит ли помогать его бывшей возлюбленной и ее беглому мужу сбежать от нацистов во Французском Марокко."
48,1+1,2011,France,"Комедия, Драма","После того, как он стал парализованным из-за несчастного случая при полете на параплане, аристократ нанимает молодого человека из проекта в качестве его опекуна."
49,Подозрительные лица,1995,United States,"криминал, драма, мистика","Единственный выживший в перестрелке на пирсе рассказывает историю о том, как известный преступник повлиял на события, которые начались с того, что пять преступников встретились в, казалось бы, случайном порядке полицейских."
50,Чужой,1979,United Kingdom,"Ужасы, Научная фантастика","Расследуя загадочную передачу неизвестного происхождения, экипаж коммерческого космического корабля сталкивается со смертельной формой жизни."
51,Джанго освобождённый,2012,United States,"Драма, Вестерн",С помощью немецкого охотника за головами освобожденный раб намеревается спасти свою жену от жестокого владельца плантации в Миссисипи.
52,Окно во двор,1954,United States,"Драма, Мистика, Триллер","Скучающий фотограф, восстанавливающийся после перелома ноги, коротает время, наблюдая за своими соседями, и начинает подозревать одного из них в убийстве."
53,Новые времена,1936,United States,"комедия, драма, романтика",Бродяга изо всех сил пытается выжить в современном индустриальном обществе с помощью молодой бездомной женщины.
54,Однажды на Диком Западе,1968,Italy,"Драма, Вестерн","Таинственный незнакомец с губной гармошкой объединяется с известным отчаянным человеком, чтобы защитить прекрасную вдову и ее землю от безжалостного убийцы, нанятого железнодорожным магнатом."
55,Огни большого города,1931,United States,"комедия, драма, романтика","С помощью богатого и эксцентричного пьяницы бродяга с розовыми глазами, влюбившийся в слепую цветочницу, накапливает деньги, чтобы помочь ей с медицинской точки зрения."
56,Апокалипсис сегодня,1979,United States,"Драма, Мистика, Военный","Офицеру армии США, служащему во Вьетнаме, поручено убить полковника спецназа-отступника, который считает себя богом."
57,ВАЛЛ·И,2008,United States,"Анимация, Приключения, Семейный","Робот, который отвечает за очистку покрытой мусором Земли, встречает другого робота и влюбляется в нее. Вместе они отправляются в путешествие, которое изменит судьбу человечества."
58,Помни,2000,United States,"Драма, Мистика, Триллер","Бывший следователь страховой компании, страдающий антероградной амнезией, использует записи и татуировки, чтобы выследить убийцу своей жены."
59,Дюна: Часть вторая,2024,United States,"Боевик, Приключения, Драма","Пол Атрейдес объединяется с Свободными, находясь на тропе войны, чтобы отомстить заговорщикам, уничтожившим его семью. Перед выбором между любовью всей его жизни и судьбой Вселенной...Читать полностью"
60,Индиана Джонс: В поисках утраченного ковчега,1981,United States,"Боевики, Приключения","В 1936 году армейская разведка поручает археологу Индиане Джонсу помочь найти легендарную древнюю силу, Ковчег Завета, прежде чем нацисты захватят его первыми."
61,Мстители: Война бесконечности,2018,United States,"Боевики, Приключения, Научная фантастика","Мстители и их союзники должны быть готовы пожертвовать всем в попытке победить могущественного Таноса, прежде чем его разрушительная атака и разрушение положат конец вселенной."
62,Жизнь других,2006,Germany,"Драма, Мистика, Триллер","В 1984 году в Восточном Берлине агент тайной полиции, осуществляющий наблюдение за писателем и его возлюбленной, все больше погружается в их жизнь."
63,Человек-паук: Через Вселенные,2018,Canada,"Анимация, Боевик, Приключения","Подросток Майлз Моралес становится Человеком-Пауком своей вселенной и должен объединиться с пятью существами с силой пауков из других измерений, чтобы остановить угрозу для всех реальностей."
64,Сансет бульвар,1950,United States,"Драма, Фильм-Нуар","У сценариста завязываются опасные отношения с угасшей кинозвездой, намеревающейся триумфально вернуться."
65,Свидетель обвинения,1957,United States,"криминал, драма, мистика","Британский адвокат-ветеран должен защищать своего клиента в суде по делу об убийстве, которое преподносит сюрприз за сюрпризом."
66,Тропы славы,1957,United States,"Драма, Военный","Полковник защищает троих своих солдат перед военным трибуналом после того, как они отказались от самоубийственной атаки."
67,Сияние,1980,United Kingdom,"Драма, Ужасы","Семья направляется на зиму в изолированный отель, где зловещее присутствие вынуждает отца к насилию. В то же время его сын-экстрасенс видит ужасающие предчувствия от обоих...Читать полностью"
68,Великий диктатор,1940,United States,"комедия, драма, военный","Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований со стороны режима Хинкеля."
69,Бесславные ублюдки,2009,United States,"приключения, драма, военный",В оккупированной нацистами Франции во время Второй мировой войны план убийства нацистских лидеров группой американских солдат-евреев совпадает с мстительными планами владельца театра.
70,12-я неудача,2023,India,"Биография, Драма",Реальная история сотрудника IPS Маноджа Кумара Шармы и сотрудника IRS Шраддхи Джоши.
71,Чужие,1986,United Kingdom,"Боевик, Приключения, Ужасы","Спустя десятилетия после того, как она пережила инцидент в Ностромо, Эллен Рипли отправляется восстановить контакт с терраформирующей колонией, но ей приходится сражаться с Королевой Чужих и ее потомством."
72,Рай и ад,1963,Japan,"криминал, драма, мистика","Руководитель обувной компании в Иокогаме становится жертвой вымогательства, когда сына его шофера по ошибке похищают и удерживают с целью выкупа."
73,Умница Уилл Хантинг,1997,United States,"Драма, Романтика","Психотерапевт консультирует Уилла Хантинга, уборщика с гениальным IQ."
74,Мстители: Финал,2019,United States,"Боевики, Приключения, Научная фантастика","После разрушительных событий Мстители: Война бесконечности (2018) Вселенная лежит в руинах. С помощью оставшихся союзников Мстители снова собираются, чтобы обратить вспять действия Таноса...Читать полностью"
75,Тёмный рыцарь: Возрождение легенды,2012,United Kingdom,"Боевик, Криминал, Драма","Бэйн, внушительный террорист, нападает на Готэм-сити и нарушает восьмилетний период мира. Это вынуждает Брюса Уэйна выйти из укрытия и снова надеть плащ и капюшон Бэтмена."
76,Тайна Коко,2017,United States,"Анимация, Приключения, Драма","Начинающий музыкант Мигель, столкнувшись с наследственным запретом на музыку в своей семье, отправляется в Страну Мертвых, чтобы найти своего прапрадеда, легендарного певца."
77,Амадей,1984,United States,"Биография, Драма, Музыка",Жизнь и творчество Вольфганга Амадея Моцарта глазами его современника и соперника Антонио Сальери.
78,История игрушек,1995,United States,"Анимация, Приключения, Комедия","Ковбойская кукла очень завидует, когда новая фигурка космонавта вытесняет его в качестве главной игрушки в спальне мальчика. Когда обстоятельства разлучают их с хозяином, дуэту приходится...Читать все"
79,Твоё имя,2016,Japan,"Анимация, Драма, Фэнтези","Двое подростков разделяют глубокую магическую связь, когда обнаруживают, что меняются телами. Ситуация усложняется, когда мальчик и девочка решают встретиться лично."
80,Подводная лодка,1981,West Germany,"Драма, Военный","Немецкая подводная лодка бродит по холодным водам Северной Атлантики, а ее молодой экипаж испытывает настоящий ужас и клаустрофобную жизнь подводника во время Второй мировой войны."
81,Олдбой,2003,South Korea,"Боевик, Драма, Мистика","После похищения и заключения в тюрьму на пятнадцать лет О Дэ Су выходит на свободу только для того, чтобы обнаружить, что ему нужно выследить своего похитителя за пять дней."
82,Храброе сердце,1995,United States,"Биография, Драма, Военный","Шотландский воин Уильям Уоллес возглавляет восстание своих соотечественников, чтобы освободить свою родину от тирании короля Англии Эдуарда I."
83,Принцесса Мононоке,1997,Japan,"Анимация, Приключения, Фэнтези","Пытаясь исцелиться от проклятия, молодой воин Ашитака сталкивается с конфликтом между жителями Железного города и принцессой Мононоке, девушкой, воспитанной волками, которая не остановится ни перед чем...Читать полностью"
84,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,United Kingdom,"комедия, военный","Психически неуравновешенный американский генерал приказывает нанести удар водородной бомбой по Советскому Союзу, открывая путь к глобальной ядерной катастрофе, от которой в ярости военная комната, полная политиков и генералов...Читать полностью"
85,Три идиота,2009,India,"Комедия, Драма","Двое друзей ищут своего давно потерянного спутника. Они вспоминают свои студенческие годы и вспоминают своего друга, который вдохновил их думать по-другому, даже несмотря на то, что остальные...Читать полностью"
86,Красота по-американски,1999,United States,Драма,"Сексуально неудовлетворенный отец из пригорода переживает кризис среднего возраста после того, как увлекся лучшей подругой своей дочери."
87,Проект «Конец света»,2026,United States,"приключения, комедия, научная фантастика","Учитель естественных наук просыпается один на космическом корабле. Когда к нему возвращается память, он узнает, что ему предстоит остановить загадочное вещество, убивающее Солнце Земли, и что неожиданная дружба может стать ...Читать все"
88,Капернаум,2018,Lebanon,Драма,"Отбывая пятилетний срок за насильственное преступление, 12-летний мальчик подает в суд на своих родителей за пренебрежение."
89,Поющие под дождем,1952,United States,"комедия, мюзикл, романтика","Звезда немого кино влюбляется в хористку в тот момент, когда он и его безумно ревнивая партнерша по экрану пытаются совершить трудный переход к говорящему кино в Голливуде 1920-х годов."
90,Джокер,2019,United States,"криминал, драма, триллер","Артур Флек, тусовочный клоун и неудавшийся стендап-комик, ведет бедную жизнь со своей больной матерью. Однако, когда общество избегает его и клеймит как уродца, он решает принять...Читать полностью"
91,Однажды в Америке,1984,Italy,"криминал, драма","Бывший еврейский гангстер времен сухого закона возвращается в Нижний Ист-Сайд Манхэттена 35 лет спустя, где ему снова приходится противостоять призракам и сожалениям своей старой жизни."
92,Звёздные войны: Эпизод 6 - Возвращение Джедая,1983,United States,"Боевик, Приключения, Фэнтези","После спасения Хана Соло от Джаббы Хатта Альянс повстанцев пытается уничтожить вторую Звезду Смерти, в то время как Люк изо всех сил пытается помочь Дарту Вейдеру вернуться с темной стороны."
93,Иди и смотри,1985,Soviet Union,"Драма, Триллер, Военный","Найдя старую винтовку, мальчик присоединяется к советскому движению сопротивления против безжалостных немецких войск и переживает ужасы Второй мировой войны."
94,Реквием по мечте,2000,United States,Драма,"Утопии четырех жителей Кони-Айленда, вызванные наркотиками, рушатся, когда их зависимость становится глубокой."
95,История игрушек: Большой побег,2010,United States,"Анимация, Приключения, Комедия","Игрушки по ошибке доставлены в детский сад, а не на чердак, прямо перед отъездом Энди в колледж, и Вуди предстоит убедить другие игрушки, что их не бросили...Читать полностью"
96,Жить,1952,Japan,Драма,"Бюрократ пытается найти смысл в своей жизни после того, как обнаруживает, что у него неизлечимая форма рака."
97,Охота,2012,Denmark,Драма,"Учитель живет одинокой жизнью, все время борясь за опеку над своим сыном. Его жизнь постепенно налаживается, поскольку он находит любовь и получает хорошие новости от сына, но его новая удача вот-вот...Читать полностью"
98,Пожары,2010,Canada,"Драма, Мистика, Военный","Близнецы отправляются на Ближний Восток, чтобы узнать историю своей семьи и исполнить последнюю волю своей матери."
99,Вечное сияние чистого разума,2004,United States,"Драма, Романтика, Научная фантастика","Когда их отношения портятся, пара проходит медицинскую процедуру, чтобы навсегда стереть друг друга из воспоминаний."
100,Квартира,1960,United States,"комедия, драма, романтика","Клерк страховой компании на Манхэттене пытается добиться успеха в своей компании, позволяя ее руководителям использовать его квартиру для свиданий, но офисная политика и его собственные романтические надежды усложняют ситуацию."
101,Лоуренс Аравийский,1962,United Kingdom,"приключения, биографический, драма","История Т.Е. Лоуренс, английский офицер, который успешно объединил и возглавил различные, часто враждующие арабские племена во время Первой мировой войны для борьбы с турками."
102,Схватка,1995,United States,"Боевик, Криминал, Драма","Группа высококлассных профессиональных воров начинает чувствовать накал страстей со стороны полиции Лос-Анджелеса, когда неосознанно оставляет словесную подсказку во время своего последнего ограбления."
103,Лицо со шрамом,1983,United States,"криминал, драма",В 1980-х годах решительный и криминально настроенный кубинский иммигрант становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге погибает из-за собственной наркозависимости.
104,2001 год: Космическая одиссея,1968,United Kingdom,"приключения, научная фантастика","Когда на Луне обнаруживают загадочный артефакт, космический корабль, пилотируемый двумя людьми и одним суперкомпьютером, отправляется на Юпитер, чтобы выяснить его происхождение."
105,Бешеные псы,1992,United States,"криминал, триллер","Когда простое ограбление ювелирных изделий идет не так, как надо, выжившие преступники начинают подозревать, что один из них - информатор полиции."
106,Вверх,2009,United States,"Анимация, Приключения, Комедия","78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оснащенном воздушными шарами, случайно прихватив с собой молодого безбилетного пассажира."
107,Двойная страховка,1944,United States,"криминал, драма, фильм-нуар","Недовольная домохозяйка втягивает представителя страховой компании в схему страхового мошенничества и убийства, вызывающую подозрения у его коллеги, следователя по претензиям."
108,На север через северо-запад,1959,United States,"приключения, драма, мистика","Менеджер по рекламе из Нью-Йорка бежит после того, как группа иностранных шпионов приняла его за правительственного агента, и влюбляется в женщину, в лояльности которой он начинает сомневаться."
109,Звёздочки на земле,2007,India,"Драма, Семейный","Маленького мальчика считают не чем иным, как ленивым нарушителем спокойствия, пока новому учителю рисования не хватит терпения и сострадания, чтобы обнаружить настоящую проблему, стоящую за его трудностями в школе."
110,Цельнометаллическая оболочка,1987,United Kingdom,"Драма, Военный","Прагматичный морской пехотинец США наблюдает за бесчеловечным воздействием войны во Вьетнаме на своих соратников-новобранцев, начиная с жестоких тренировок в учебном лагере и заканчивая кровавыми уличными боями в Хюэ."
111,М убийца,1931,Germany,"криминал, мистика, триллер","Когда полиции немецкого города не удается поймать детоубийцу, к розыску присоединяются другие преступники."
112,Амели,2001,France,"комедия, романтика","Несмотря на то, что молодая официантка Амели оказалась в плену своего воображаемого мира, она решает помочь людям обрести счастье. Ее стремление распространять радость приводит ее в путешествие, в котором она находит настоящую любовь."
113,Головокружение,1958,United States,"мистика, романтика, триллер","Бывший детектив полиции Сан-Франциско жонглирует борьбой со своими личными демонами и становится одержимым навязчиво красивой женщиной, которую его наняли выследить, и которая может быть глубоко рассержена...Читать полностью"
114,Гражданин Кейн,1941,United States,"Драма, Мистика",После смерти издательского магната Чарльза Фостера Кейна репортеры пытаются раскрыть смысл его последнего высказывания: «Бутон розы».
115,Развод Надера и Симин,2011,Iran,Драма,"Супружеская пара сталкивается с трудным решением – улучшить жизнь своего ребенка, переехав в другую страну, или остаться в Иране и присматривать за ухудшающимся родителем, больным болезнью Альжея...Читать полностью"
116,Крепкий орешек,1988,United States,"Боевик, Триллер","Полицейский из Нью-Йорка пытается спасти свою жену и еще нескольких человек, взятых в заложники террористами во время рождественской вечеринки в небоскребе Лос-Анджелеса."
117,Убить пересмешника,1962,United States,"криминал, драма","Овдовевший адвокат из Алабамы времен Великой депрессии защищает чернокожего мужчину от ложного обвинения в изнасиловании, одновременно рассказывая своим маленьким детям о печальной реальности предрассудков."
118,Индиана Джонс и последний крестовый поход,1989,United States,"Боевики, Приключения","В 1938 году, после того как его отец пропал без вести во время поисков Святого Грааля, Индиана Джонс снова сталкивается с нацистами, чтобы помешать им получить его силу."
119,Афера,1973,United States,"комедия, криминал, драма","Два мошенника объединяются, чтобы провернуть грандиозную аферу."
120,Заводной апельсин,1971,United Kingdom,"Криминал, Научная фантастика",Алекс ДеЛардж и его друзья варваризируют разлагающееся ближайшее будущее.
121,Метрополис,1927,Germany,"Драма, Научная фантастика","В футуристическом городе, резко разделенном между рабочим классом и градостроителями, сын городского вдохновителя влюбляется в пророка из рабочего класса, который предсказывает наступление...Читать полностью"
122,1917,2019,United Kingdom,"Боевик, Драма, Военный","6 апреля 1917 года. Пехотный батальон собирается для ведения войны в глубине вражеской территории. Двум солдатам поручено состязаться со временем и доставить сообщение, которое остановит 1600 человек...Читать полностью"
123,Большой куш,2000,United Kingdom,"комедия, криминал","Недобросовестные промоутеры бокса, жестокие букмекеры, русский гангстер, некомпетентные грабители-любители и якобы еврейские ювелиры борются за поиск бесценного украденного бриллианта."
124,Волк с Уолл-стрит,2013,United States,"Биография, Комедия, Криминал","Основан на реальной истории Джордана Белфорта, от его восхождения до богатого биржевого маклера, ведущего светскую жизнь, до его падения, связанного с преступностью, коррупцией и федеральным правительством."
125,Секреты Лос-Анджелеса,1997,United States,"криминал, драма, мистика","В 1950-х годах в Лос-Анджелесе растет коррупция, и трое полицейских – один сдержанный, один жестокий и один неряшливый – расследуют серию убийств, придерживаясь своего собственного принципа правосудия."
126,Бункер,2004,Germany,"Биография, Драма, История","Траудль Юнге, последний секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его берлинском бункере в конце Второй мировой войны."
127,Дангал,2016,India,"Боевик, Биография, Драма","Махавир Сингх Пхогат, бывший борец, решает осуществить свою мечту и выиграть золотую медаль для своей страны, готовя своих дочерей к Играм Содружества, несмотря на существующие социальные...Читать полностью"
128,Шоу Трумана,1998,United States,"Комедия, Драма","Продавец страховых услуг начинает подозревать, что вся его жизнь — это на самом деле какое-то реалити-шоу."
129,Похитители велосипедов,1948,Italy,Драма,"В послевоенной Италии у рабочего человека украли велосипед, что поставило под угрозу его попытки найти работу. Он и его сын отправились на его поиски."
130,Зеленая книга,2018,United States,"Биография, Комедия, Драма",Итало-американский вышибала из рабочего класса становится водителем афроамериканского классического пианиста во время тура по югу Америки 1960-х годов.
131,Оппенгеймер,2023,United States,"Биография, Драма, История","Инсценировка истории жизни Дж. Роберта Оппенгеймера, физика, приложившего большое внимание к созданию атомной бомбы, положившей конец Второй мировой войне."
132,Остров проклятых,2010,Canada,"Драма, Мистика, Триллер","Два маршала США отправляются в психиатрическую больницу на негостеприимном острове, чтобы расследовать исчезновение пациента."
133,Нюрнбергский процесс,1961,United States,"Драма, История, Военный","Вымышленное изображение Судебного процесса 1947 года, третьего из 12 судебных процессов над нацистскими военными преступниками, проведенных американскими оккупационными силами в Нюрнберге, Германия, на котором бывшие судьи На...Читать полностью"
134,Бэтмен: Начало,2005,United States,"Боевик, Криминал, Драма","Став свидетелем смерти своих родителей, миллиардер Брюс Уэйн учится искусству борьбы с несправедливостью. Когда он возвращается в Готэм в роли Бэтмена, ему предстоит остановить тайное общество, которое намеревается...Читать все"
135,Я ругаюсь,2025,United Kingdom,"Биография, Драма","Джон Дэвидсон: в молодом возрасте у него диагностировали синдром Туретта, который оттолкнул его от сверстников. Он боролся с заболеванием, свидетелями которого были немногие."
136,Гамильтон,2020,United States,"Биография, Драма, История",Реальная жизнь одного из выдающихся отцов-основателей Америки и первого министра финансов Александра Гамильтона. Записано в прямом эфире на Бродвее из театра Ричарда Роджерса с оригинальной...Читать полностью
137,На несколько долларов больше,1965,Italy,"Драма, Вестерн","Два наемных убийцы со схожими намерениями, но разными мотивами объединяются, чтобы уничтожить психотического мексиканского преступника, прежде чем он и его банда смогут совершить дерзкое ограбление банка."
138,Парк юрского периода,1993,United States,"Боевики, Приключения, Научная фантастика","Промышленник приглашает экспертов посетить свой тематический парк клонированных динозавров. После сбоя в электроснабжении существа выбегают на свободу, подвергая жизни всех, включая его внуков...Читать полностью"
139,Таксист,1976,United States,"криминал, драма","Психически неуравновешенный ветеран работает ночным таксистом в Нью-Йорке, где воспринимаемый упадок и подлость подпитывают его стремление к насильственным действиям."
140,В джазе только девушки,1959,United States,"комедия, музыка, романтика","После того, как двое музыкантов-мужчин стали свидетелями нападения мафии, они бегут из штата в составе женской группы, замаскированной под женщин, но начинаются дальнейшие осложнения."
